Name	MOA	Target	Disease Area	Indication	Id	Phase
acepromazine	dopamine receptor antagonist	ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A	neurology/psychiatry	sedative	BRD-K37814297-050-09-6, BRD-K37814297-050-09-6, BRD-K37814297-050-10-9	Launched
acesulfame-potassium					BRD-K50850824-237-03-0, BRD-K50850824-237-02-2, BRD-K50850824-237-04-8	Phase 3
acetanilide	hydrogen peroxide decomposition inhibitor				BRD-K11094367-001-11-9, BRD-K11094367-001-10-1, BRD-K11094367-001-09-3	Preclinical
acetarsol			gastroenterology	diarrhea	BRD-K99048103-001-19-2, BRD-K99048103-001-18-4, BRD-K99048103-001-20-0	Launched
acetazolamide	carbonic anhydrase inhibitor	AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7	ophthalmology	glaucoma	BRD-K43457670-001-27-8, BRD-K43457670-001-27-8	Launched
acetohexamide	ATP channel blocker	ABCC8, KCNJ1, KCNJ10, KCNJ11	endocrinology	diabetes mellitus	BRD-K52960356-001-13-0, BRD-K52960356-001-15-5	Launched
acetohydroxamic-acid	urease inhibitor	MMP12	infectious disease	urinary tract infections	BRD-K21615095-001-08-4	Launched
acetriazoic-acid					BRD-K46416130-001-06-9, BRD-K46416130-001-07-7, BRD-K46416130-001-07-7	Preclinical
acetyl-farnesyl-cysteine	methyltransferase inhibitor	PPARG	dermatology	acne vulgaris (AV)	BRD-K79437791-001-05-7, BRD-K79437791-001-05-7, BRD-K79437791-001-06-5, BRD-K79437791-001-06-5	Launched
acetyl-l-leucine			neurology/psychiatry	vertigo	BRD-K27406233-001-08-9, BRD-K27406233-001-07-7	Launched
acetyl-11-keto-beta-boswellic-acid	lipoxygenase inhibitor	HSD11B1, HSD11B2			BRD-A44696962-001-01-4	Phase 2
acetylcholine	acetylcholine receptor agonist	ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2	neurology/psychiatry, gastroenterology, pulmonary	drowsiness, fatigue, headache, indigestion, chest congestion	BRD-K82381502-003-25-9, BRD-K82381502-003-24-9, BRD-K82381502-003-23-1	Launched
acetylsalicylsalicylic-acid	cyclooxygenase inhibitor				BRD-K46585355-001-15-9, BRD-K46585355-001-14-3, BRD-K46585355-001-14-3	Preclinical
acetylspiramycin	other antibiotic				BRD-K00004968-001-01-9	Preclinical
acexamic-acid	5 alpha reductase inhibitor	GAST	dermatology	wound healing	BRD-K72215350-001-07-9, BRD-K72215350-001-07-9, BRD-K72215350-001-06-5, BRD-K72215350-001-06-5, BRD-K72215350-001-06-5, BRD-K72215350-001-06-5, BRD-K72215350-001-06-5	Launched
acifran	cholesterol inhibitor	HCAR2, HCAR3			BRD-A29520968-001-03-5, BRD-A29520968-001-04-9, BRD-A29520968-001-02-7, BRD-A29520968-001-02-7	Phase 3
acipimox	cholesterol inhibitor	HCAR2	endocrinology	hyperlipidemia	BRD-K63736853-001-06-3, BRD-K63736853-001-04-8, BRD-K63736853-001-04-8, BRD-K63736853-001-07-9, BRD-K63736853-001-03-0, BRD-K63736853-001-03-0, BRD-K63736853-001-03-0	Launched
acitazanolast	mediator release inhibitor		allergy	allergic rhinitis	BRD-K74236708-001-02-7, BRD-K74236708-001-01-9, BRD-K74236708-001-01-9	Launched
acitretin	retinoid receptor agonist	RARA, RARB, RARG, RBP1, RXRA, RXRB, RXRG, STAT3	dermatology	psoriasis	BRD-K62012036-001-14-4, BRD-K62012036-001-14-4, BRD-K62012036-001-14-4, BRD-K62012036-001-14-4, BRD-K62012036-001-13-6	Launched
acivicin	gamma glutamyltransferase inhibitor	CTPS1			BRD-K13050541-001-01-9, BRD-K13050541-001-01-9	Phase 2
aclarubicin	topoisomerase inhibitor	TOP1, TOP2A	hematologic malignancy	acute myeloid leukemia (AML)	BRD-K31965398-001-03-9	Launched
aclidinium	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	pulmonary	bronchitis, emphysema, chronic obstructive pulmonary disease (COPD)	BRD-K74363950-004-02-9, BRD-K74363950-004-01-0	Launched
acolbifene	estrogen receptor antagonist				BRD-K00004720-001-01-9	Phase 3
acoziborole	antitrypanosomal				BRD-K00003303-001-01-9	Preclinical
ACPC	glutamate receptor antagonist				BRD-K66465025-001-08-9, BRD-K66465025-001-05-1	Phase 1
acriflavine	hypoxia inducible factor inhibitor	HIF1A	infectious disease	fungal infection	BRD-M87138257-003-01-1, BRD-M87138257-003-01-1	Launched
acriflavinium	hypoxia inducible factor inhibitor	HIF1A	infectious disease	fungal infection	BRD-K97874492-300-10-7, BRD-K97874492-003-12-3	Launched
acrisorcin	other antifungal		infectious disease	fungal infection	BRD-M49658242-001-04-1	Launched
acrivastine	histamine receptor antagonist	HRH1	allergy	allergic rhinitis	BRD-K50163129-001-02-9, BRD-K50163129-001-02-9, BRD-K50163129-001-01-4, BRD-K50163129-001-01-4, BRD-K50163129-001-01-4	Launched
acrylate	mucus protecting agent				BRD-M00184283-001-01-1	Phase 3
ACT-132577	endothelin receptor antagonist	EDNRA, EDNRB	pulmonary	pulmonary arterial hypertension (PAH)	BRD-K34843150-001-03-0, BRD-K34843150-001-02-2, BRD-K34843150-001-01-4	Launched
ACT-462206	orexin receptor antagonist	HCRTR1, HCRTR2			BRD-K19781342-001-02-2, BRD-K19781342-001-01-4	Phase 1
actarit	interleukin receptor agonist		rheumatology	rheumatoid arthritis	BRD-K33483813-001-13-9, BRD-K33483813-001-10-0	Launched
ACTB-1003	FGFR inhibitor, VEGFR inhibitor	KDR, TEK			BRD-K35936936-001-01-6, BRD-K35936936-001-01-6, BRD-K35936936-001-01-6, BRD-K35936936-001-02-9	Phase 1
actinomycin-d	RNA polymerase inhibitor		oncology	Wilm's tumor, Ewing's sarcoma, rhabdomyosarcoma, testicular carcinoma	BRD-K16547679-001-01-5, BRD-K16547679-001-02-9, BRD-K16547679-001-03-9	Launched
actinoquinol					BRD-K08837089-236-01-6, BRD-K08837089-001-03-9	Preclinical
acumapimod	p38 MAPK inhibitor				BRD-K00003220-001-01-9	Phase 1
ACY-1215	HDAC inhibitor	HDAC1, HDAC2, HDAC3, HDAC6, HDAC8			BRD-K82928847-001-04-7, BRD-K82928847-001-04-7, BRD-K82928847-001-07-9, BRD-K82928847-001-07-9, BRD-K82928847-001-07-9, BRD-K82928847-001-07-9	Phase 1/Phase 2
acyclovir	DNA polymerase inhibitor	PNP	infectious disease	genitial herpes, shingles, chicken pox	BRD-K32318651-001-26-0, BRD-K32318651-001-23-7, BRD-K32318651-001-22-9, BRD-K32318651-001-21-1, BRD-K32318651-001-24-5, BRD-K32318651-001-24-5, BRD-K32318651-001-24-5	Launched
AC1NDSS5					BRD-K10226125-245-01-5, BRD-K10226125-245-01-5	Phase 1
AC260584	cholinergic receptor agonist				BRD-K00004583-001-01-9	Preclinical
AD-5467	aldose reductase inhibitor	AKR1B1			BRD-A80280426-001-03-8, BRD-A80280426-001-02-0	Phase 2
adapalene	retinoid receptor agonist	RARA, RARB, RARG, RXRA, RXRB, RXRG	dermatology	acne vulgaris (AV)	BRD-K33127281-001-06-4, BRD-K33127281-001-06-4, BRD-K33127281-001-05-6, BRD-K33127281-001-05-6, BRD-K33127281-001-05-6, BRD-K33127281-001-04-9, BRD-K33127281-001-04-9, BRD-K33127281-001-04-9	Launched
adaprev	TGF beta receptor inhibitor	AKR1B1, GPI, HK1, M6PR, PYGM			BRD-A73427433-240-01-3, BRD-A73427433-240-01-3	Phase 3
adaptavir	CC chemokine receptor antagonist	CCR5			BRD-K37151368-001-01-7, BRD-K37151368-001-01-7, BRD-K37151368-001-01-7, BRD-K37151368-001-02-9	Phase 2
adarotene	retinoid receptor agonist	RARB, RARG			BRD-K00152668-001-01-5, BRD-K00152668-001-01-5, BRD-K00152668-001-01-5, BRD-K00152668-001-02-9	Phase 1
adatanserin	serotonin receptor agonist, serotonin receptor antagonist	HTR1A, HTR2A			BRD-K67789209-001-01-0, BRD-K67789209-001-01-0, BRD-K67789209-001-01-0	Phase 2
adavivint	WNT pathway inhibitor				BRD-K00003499-001-01-9	Phase 1
ADD-233089	benzodiazepine receptor agonist				BRD-K43055376-001-01-2, BRD-K43055376-001-02-9, BRD-K43055376-001-02-9	Phase 1
adefovir	DNA polymerase inhibitor		infectious disease	hepatitis B	BRD-K77484724-001-03-8, BRD-K77484724-001-02-0	Launched
adefovir-dipivoxil	DNA polymerase inhibitor		infectious disease	hepatitis B	BRD-K96159438-001-08-9, BRD-K96159438-001-07-1, BRD-K96159438-001-06-3	Launched
adelmidrol	anti-inflammatory agent		dermatology	dermatitis	BRD-K78097265-001-02-9, BRD-K78097265-001-01-6	Launched
ademetionine	methyltransferase stimulant, phosphodiesterase inhibitor		neurology/psychiatry	depression, attention-deficit/hyperactivity disorder (ADHD)	BRD-K78185697-001-02-5, BRD-K78185697-001-01-7	Launched
adenosine-phosphate	adenosine receptor agonist	ACSL1, ACSS1, ACSS2, ADCY1, ADK, CREB1, FBP1, HINT1, PDE4B, PDE4D, PIM1, PRKAA1, PRKAB1, PRKAB2, PYGL, TRPM4			BRD-K85767870-001-14-9	Launched
adenosine-triphosphate	adenosine receptor agonist	ABCA1, ABCB1, ABCB11, ABCC2, ABCC8, ABCC9, ABCG1, ABL1, ABL2, ACSL1, ACSS1, ACSS2, ACVR1, ACVR1B, ACVRL1, ADCY1, ADRBK1, ADRBK2, AFG3L2, AKT1, ALK, AMHR2, APAF1, ARAF, ASNA1, ASNS, ASS1, CDK15, GPR17, ITPR1, NAE1, NT5C2, P2RY1, P2RY11, P2RY13, P2RY2, P2RY4, PRKAA1, RYR1, RYR2, RYR3, SLC25A4, TNK2, TRPM4, TRPM7			BRD-K00003709-001-01-9	Phase 2
adiphenine	acetylcholine receptor antagonist	CHRNA1	neurology/psychiatry	spasms	BRD-K60907894-003-24-9, BRD-K60907894-003-24-9, BRD-K60907894-003-23-5, BRD-K60907894-003-22-7	Launched
adipic-acid	solute carrier family member inhibitor	SLC22A6			BRD-K10656395-001-02-1	Preclinical
adiporon	adiponectin receptor agonist	ADIPOR1, ADIPOR2			BRD-K68810443-003-03-9, BRD-K68810443-001-01-9, BRD-K68810443-001-01-9, BRD-K68810443-003-01-5, BRD-K68810443-001-02-7	Preclinical
ADL5859	opioid receptor agonist	OPRD1			BRD-K39624409-003-02-6, BRD-K39624409-003-03-4, BRD-K39624409-003-03-4, BRD-K39624409-003-03-4, BRD-K39624409-003-03-4, BRD-K39624409-003-04-2, BRD-K39624409-003-04-2	Phase 2
adomeglivant	glucagon receptor antagonist				BRD-K00003302-001-01-9	Preclinical
adoprazine	dopamine receptor antagonist, serotonin receptor agonist	DRD2, HTR1A			BRD-K34870043-001-01-8, BRD-K34870043-001-01-8, BRD-K34870043-001-02-9	Phase 2
adrafinil	adrenergic receptor agonist		neurology/psychiatry	fatigue	BRD-A90926615-001-02-7, BRD-A90926615-001-03-9, BRD-A90926615-001-01-9	Launched
adrenalone	adrenergic receptor agonist	ADRA1A	hematology	hemorrhage	BRD-K82343404-003-06-9, BRD-K82343404-003-06-9, BRD-K82343404-003-03-2, BRD-K82343404-003-02-4	Launched
adrenosterone	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1, HSD11B2			BRD-K17368287-001-18-3, BRD-K17368287-001-19-9	Preclinical
ADX-10059	glutamate receptor negative allosteric modulator	GRM5			BRD-K77911775-003-02-9, BRD-K77911775-003-01-8, BRD-K77911775-003-01-8, BRD-K77911775-003-01-8, BRD-K77911775-003-01-8	Phase 2
ADX-47273	glutamate receptor modulator	GRM5			BRD-K56543881-001-03-9, BRD-K56543881-001-02-7	Preclinical
AEE788	EGFR inhibitor, VEGFR inhibitor	EGFR, ERBB2, ERBB4, FGFR2, FGFR3, KDR			BRD-K40718343-001-05-9, BRD-K40718343-001-05-9, BRD-K40718343-001-04-2, BRD-K40718343-001-03-4, BRD-K40718343-001-02-6	Phase 1/Phase 2
AEG3482	HSP inducer				BRD-K77634909-001-05-0, BRD-K77634909-001-03-5, BRD-K77634909-001-06-9	Preclinical
afalanine	dopamine receptor agonist	DRD2			BRD-K53205568-001-02-6, BRD-K53205568-001-04-9, BRD-K53205568-001-04-9	Phase 3
afamelanotide	melanocyte-stimulating hormone mimetic				BRD-K00003330-001-01-9	Launched
afatinib	EGFR inhibitor	EGFR, ERBB2, ERBB4	oncology	non-small cell lung cancer (NSCLC)	BRD-K66175015-332-01-6, BRD-K66175015-332-01-6, BRD-K66175015-332-01-6, BRD-K66175015-001-13-2, BRD-K66175015-001-13-2, BRD-K66175015-001-13-2, BRD-K66175015-001-09-0, BRD-K66175015-001-09-0, BRD-K66175015-001-09-0, BRD-K66175015-001-09-0	Launched
afimoxifene	estrogen receptor antagonist	ESR1, ESR2, ESRRG, PLD1, PRKCD, PRKCE, PRKCQ, PRKCZ			BRD-K04210847-001-21-9	Phase 2
afloqualone	acetylcholine receptor antagonist		neurology/psychiatry	sedative	BRD-K69247067-001-01-8, BRD-K69247067-001-01-8, BRD-K69247067-001-01-8	Launched
AFN-1252	FABI inhibitor				BRD-K23791635-001-01-3	Phase 2
afobazole	anxiolytic		neurology/psychiatry	anxiety	BRD-K37793595-003-01-7, BRD-K37793595-003-02-9	Launched
AF38469	sortilin inhibitor	SORT1			BRD-K47816470-001-01-8, BRD-K47816470-001-01-8, BRD-K47816470-001-01-8, BRD-K47816470-001-01-8	Preclinical
AG-1024	insulin growth factor receptor inhibitor	IGF1R			BRD-K08310154-001-03-8, BRD-K08310154-001-03-8	Preclinical
AG-14361	PARP inhibitor	PARP1			BRD-K00615600-001-12-9, BRD-K00615600-001-12-9, BRD-K00615600-001-12-9, BRD-K00615600-001-13-7, BRD-K00615600-001-13-7, BRD-K00615600-001-13-7, BRD-K00615600-001-13-7, BRD-K00615600-001-13-7, BRD-K00615600-001-13-7, BRD-K00615600-001-13-7, BRD-K00615600-001-13-7	Preclinical
AG-490	EGFR inhibitor, JAK inhibitor	EGFR, JAK2, JAK3			BRD-K47105409-001-15-2, BRD-K47105409-001-14-5, BRD-K47105409-001-13-7, BRD-K47105409-001-16-9	Preclinical
AG-555	tyrosine kinase inhibitor	CDK2			BRD-K34428485-001-18-4	Preclinical
AG-556	tyrosine kinase inhibitor				BRD-K81048131-001-03-9, BRD-K81048131-001-02-4	Preclinical
AGI-5198	isocitrate dehydrogenase inhibitor	IDH1			BRD-A56371469-001-03-3, BRD-A56371469-001-03-3, BRD-A56371469-001-03-3	Preclinical
AGI-6780	isocitrate dehydrogenase inhibitor	IDH2			BRD-K04691817-001-01-8, BRD-K04691817-001-01-8, BRD-K04691817-001-03-9	Preclinical
AGM-1470	cell cycle inhibitor	METAP2			BRD-A78111609-001-01-2	Phase 2
agmatine	nitric oxide synthase inhibitor	ADRA2C, ASIC3, CACNA1B, CHRNA1, GRIN1, KCNJ1, NISCH			BRD-K49738308-065-04-9, BRD-K49738308-065-04-9	Phase 3
AGN-194310	retinoid receptor antagonist	RXRA, RXRB, RXRG			BRD-K70262971-001-01-9, BRD-K70262971-001-01-9, BRD-K70262971-001-01-9	Phase 3
AGN-195183	retinoid receptor agonist	RARA			BRD-K32533226-001-01-3, BRD-K32533226-001-01-3	Phase 1/Phase 2
agomelatine	melatonin receptor agonist, serotonin receptor antagonist	HTR2A, HTR2B, HTR2C, MTNR1A, MTNR1B	neurology/psychiatry	depression	BRD-K84698278-001-03-4, BRD-K84698278-001-05-9, BRD-K84698278-001-05-9	Launched
AGP-103	membrane permeability inhibitor				BRD-K91495480-001-03-9, BRD-K91495480-001-02-2, BRD-K91495480-001-02-2	Launched
AH-7614	free fatty acid receptor antagonist	FFAR4			BRD-K10852420-001-03-9, BRD-K10852420-001-02-5, BRD-K10852420-001-02-5	Preclinical
AH11110	adrenergic receptor ligand	ADRA1B			BRD-A64808605-003-03-9, BRD-A64808605-003-03-9, BRD-A64808605-003-02-7	Preclinical
AH6809	prostanoid receptor antagonist	PTGDR, PTGER1, PTGER2, PTGER3			BRD-K59339270-001-03-4, BRD-K59339270-001-04-9, BRD-K59339270-001-02-6	Preclinical
AI-10-49	core binding factor inhibitor	CBFB			BRD-K89899948-001-01-7	Preclinical
